id,host_id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,name_tokens,description_tokens,neighborhood_overview_tokens
747813,3926646,Downtown Core,Central Region,1.27525,103.84575,3,4,1.0,1,1,"[""Shampoo"", ""Gym"", ""Private entrance"", ""Paid parking on premises"", ""First aid kit"", ""Hangers"", ""Smoking allowed"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Long term stays allowed"", ""Pool"", ""Pets allowed"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Paid parking off premises"", ""Essentials"", ""Lockbox"", ""Hair dryer"", ""Wifi"", ""Elevator"", ""Dryer"", ""Washer"", ""Hot tub"", ""Kitchen"", ""Iron""]",119.0,92,1123,92,92,1123,1123,92.0,1123.0,68,0,0,2012-11-10,2019-02-27,4.63,4.67,4.57,4.7,4.82,4.91,4.5,1,0.47,fantastic serviced apartment singapore cbd,fantastic central serviced apartment available heart singapores central business district nearby tanjong pagar mrt station middle cbdbr br new cable tv included latest movies sports packages barclays premier league bpl rugby golf tennis etc broadcast br br new superfast fibre broadband wifiinternet,great location cbdbr br mixed retail office residential building located anson road heart cbd sits right beside tanjong pagar mrt station range shopping convenient stores food beverage outlets ground floor apartment blockbr br building boasts range food beverage outlets lobby level facilities like traditional condominium gym swimming pool badminton court 24h security covered car park
747816,3926646,Downtown Core,Central Region,1.27585,103.84597,3,4,1.0,1,1,"[""Shampoo"", ""Gym"", ""Private entrance"", ""Paid parking on premises"", ""Hangers"", ""Smoking allowed"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Microwave"", ""TV with standard cable"", ""Long term stays allowed"", ""Pool"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Paid parking off premises"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Hair dryer"", ""Wifi"", ""Lock on bedroom door"", ""Elevator"", ""Dryer"", ""Washer"", ""Hot tub"", ""Kitchen"", ""Iron""]",119.0,92,1124,92,92,1124,1124,92.0,1124.0,25,0,0,2012-11-11,2018-09-14,4.56,4.44,4.32,4.76,4.88,4.96,4.28,1,0.17,fantastic serviced apartment singapore cbd,fantastic central serviced apartment available heart singapores central business district directly tanjong pagar mrt station middle cbdbr br new cable tv included latest movies sports packages barclays premier league bpl rugby golf tennis etc broadcast br br new superfast fiber broadband wifiinternet,great location cbdbr br building mixed retail office residential building located anson road heart cbd sits right beside tanjong pagar mrt station range shopping convenient stores food beverage outlets ground floor apartment blockbr br building boasts range food beverage outlets lobby level facilities like traditional condominium gym swimming pool badminton court 24h security covered car park
765579,2413412,Outram,Central Region,1.2841,103.84253,3,1,2.0,1,1,"[""Bed linens"", ""Private entrance"", ""Paid parking on premises"", ""Oven"", ""Keypad"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Microwave"", ""Long term stays allowed"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Paid parking off premises"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Lock on bedroom door"", ""Elevator"", ""Dryer"", ""Washer"", ""Kitchen"", ""Iron""]",49.0,92,365,92,92,1125,1125,92.0,1125.0,2,0,0,2012-11-12,2019-08-11,4.0,3.0,3.0,4.0,4.5,4.0,3.0,1,0.01,chinatowndoorstep queenbed rm 89c tourist,rooms features includebr lockable room fully private sharing strangersbr airconditioned control via remotebr queensize bed wardrobe study desk br bedsheet towelbr unlimited wireless internet 1gpbsbr access 2 bathrooms shared 2 others housemates,apartment chinatown mrt exit cbr right heart town proximity everythingbr 24hours security 24hours food drinksbr access three mrt lines 1 min walk chinatown mrt purple line blue line 5 min walk outram mrt green line br 14 stations away clarke quay outram tiong bahru city hall dhoby gaut somerset raffles place tanjong pagarbr 15 mins walk amenities 24hr food centres shopping centre supermarket etcbr 20 bus lines bus stops right beside apartment buildingbr 510 mins bus cbd beach road orchard road shenton way etcbr 510 mins walk outram clarke quay night entertainment etcbr 1530 mins walk cbd marina bay sands suntec city
815685,1439258,Bukit Merah,Central Region,1.29065,103.80941,3,1,2.0,1,1,"[""Paid dryer \u2013 In unit"", ""Bed linens"", ""TV"", ""Dedicated workspace"", ""Hangers"", ""Paid washer \u2013 In unit"", ""Clothing storage"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Hot water kettle"", ""Smart lock"", ""Long term stays allowed"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Refrigerator"", ""Wifi"", ""Lock on bedroom door"", ""Bidet"", ""Elevator"", ""Kitchen"", ""Iron""]",55.0,180,999,180,180,1125,1125,180.0,1125.0,16,0,0,2013-06-26,2023-02-28,4.13,3.88,4.25,4.25,4.44,4.25,3.88,1,0.12,awesome room city near orchard rd 3,important notes read book br since hdb flat tourists allowed unless valid pass like ipa letter tepbr br cozy comfortable wellrenovated fitted great guests great environment great hostbr br shared apartment several flatmatesbr 2 common bathrooms 2 toilets separate br br 10 min walk redhill mrt take bus direct bus terminal downstairs direct tiong bahru mrtbr br near queensway alexandra nus nuh,
833289,4360831,Bukit Merah,Central Region,1.27716,103.82299,3,2,1.0,1,2,"[""Host greets you""]",150.0,730,1125,730,730,1125,1125,730.0,1125.0,2,0,0,2016-03-08,2019-01-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0.02,warm hospitality italian style,stylish apartment condominium nice garden swimming pool gym ping pong tennis squash court br br cozy apartment artistically decorated pleasant blend antique modern design ad art pieces world,sourrounded green close sentosa island vivo city one biggest shopping mall singapore
863139,2413412,Kallang,Central Region,1.3092,103.86339,3,1,1.0,1,1,"[""Bed linens"", ""Heating"", ""Private entrance"", ""Oven"", ""Keypad"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Microwave"", ""TV with standard cable"", ""Free street parking"", ""Long term stays allowed"", ""Pool"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Paid parking off premises"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Wifi"", ""Single level home"", ""Lock on bedroom door"", ""Dryer"", ""Washer"", ""Kitchen"", ""Iron""]",53.0,92,365,92,92,365,365,92.0,365.0,2,0,0,2016-12-17,2016-12-27,5.0,5.0,4.5,5.0,5.0,5.0,5.0,1,0.02,ensuitek w balcony viewaccesschill,personal balcony space great viewsbr airconditioned lockable bedroom fully private br personal shower cubicle water basinbr queensize doublebed study table chair cable tvbr basic bedsheet towelbr free wifi 1gbpsbr note toilet bowl wc x2 kitchen rear,apartment along lavender street area prewar historical buildings residentialbr access two mrt lines 45 mins walk lavender mrt green line 910 mins walk farrer park mrt purple linebr good location proximity everything 24hours food drinks outletsbr 2 mins walk amenities 24hr food centres supermarket mustafa aperia mall city sq mall etcbr 2 mins walk jalan besar public swimming pool olympic size 1entry gymnasium 1entrybr 4 mins walk lavender mrt 13 stations away bugis city hall raffles place promenade dhoby gautbr 4 mins walk major roads bus stops lavender street victoria street jalan besarbr 10 15 mins bus ride cbd areas work boat quay clarke quay night entertainments etc
881253,2413412,Outram,Central Region,1.28485,103.84317,3,1,1.0,1,1,"[""Private living room"", ""Bed linens"", ""Heating"", ""Private entrance"", ""Paid parking on premises"", ""Oven"", ""Keypad"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Microwave"", ""TV with standard cable"", ""Long term stays allowed"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Paid parking off premises"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Wifi"", ""Lock on bedroom door"", ""Elevator"", ""Dryer"", ""Washer"", ""Kitchen"", ""Iron""]",79.0,92,1124,92,92,1125,1125,92.0,1125.0,3,0,0,2013-02-14,2018-03-09,4.0,4.0,3.67,4.67,4.67,4.67,4.33,1,0.02,chinatown doorstep ensuite11 tourist,1 private living room space cabletv sofabr 1 lockable room fully private br airconditioned br wow city view bedroom windowbr personal shower cubicle inside bedroombr queensize doublebed study table chair bar fridgebr bedsheet towelbr freeunlimited wifibr note toilet outside bedroombr note 4 housemates shared duplex apartment,apartment near chinatown mrt exit cbr right heart town proximity everythingbr 24hours security 24hours food drinksbr access three mrt lines 1 min walk chinatown mrt purple blue lines 5 min walk outram mrt green line br 14 stations away clarke quay outram tiong bahru city hall dhoby gaut somerset raffles place tanjong pagarbr 15 mins walk amenities 24hr food centres shopping centre supermarket etcbr 20 bus lines bus stops right beside apartment buildingbr 510 mins bus cbd beach road orchard road shenton way etcbr 510 mins walk outram clarke quay night entertainment etcbr 1530 mins walk cbd marina bay sands suntec city
915275,2413412,Kallang,Central Region,1.31208,103.85846,3,1,1.0,1,1,"[""Bed linens"", ""Heating"", ""Private entrance"", ""Paid parking on premises"", ""Oven"", ""Keypad"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Microwave"", ""TV with standard cable"", ""Long term stays allowed"", ""Pool"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Paid parking off premises"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Lock on bedroom door"", ""Dryer"", ""Washer"", ""Kitchen"", ""Iron""]",67.0,92,365,92,92,1125,1125,92.0,1125.0,2,0,0,2017-01-07,2017-08-07,4.5,4.5,4.0,4.5,4.5,5.0,4.0,1,0.02,ensuite m1b within heritage apartment,rooms features includebr lockable bedroom fully private sharing strangersbr airconditioned private bathroom br doublebed study table chair cable tvbr simple bedsheet towelbr unlimited wifi 1gbpsbr 7 house mates live huge apartment,apartment 5 mins walk farrer park mrt heritage walkup apartment near city sq mall residencesbr enjoy convenience city square malls cinemasmovies supermarkets food varieties endless shoppingbr fringe town proximity everythingbr access two mrt lines farrer park mrt purple line 8 mins walk lavender mrt green line br 14 stations away little india dhoby gaut chinatown somerset bras basah clarke quay esplanade orchard city hall raffles place bugis kallangbr 15 mins walk amenities 24hr food centres shopping centre mustafa supermarket etcbr 10 mins bus cbd city area
962594,2413412,Kallang,Central Region,1.30793,103.86312,3,1,1.0,1,1,"[""Bed linens"", ""Heating"", ""Private entrance"", ""Oven"", ""Keypad"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Microwave"", ""TV with standard cable"", ""Free street parking"", ""Long term stays allowed"", ""Pool"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Paid parking off premises"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Wifi"", ""Single level home"", ""Lock on bedroom door"", ""Dryer"", ""Washer"", ""Kitchen"", ""Iron""]",53.0,92,365,92,92,365,365,92.0,365.0,2,0,0,2018-08-12,2018-12-15,5.0,4.5,4.0,5.0,5.0,5.0,4.0,1,0.03,ensuitep w balcony viewaccesschill,personal balcony space great viewsbr airconditioned lockable bedroom fully private br personal shower cubicle water basinbr queensize doublebed study table chair cable tvbr basic bedsheet towelbr free wifi 1gbpsbr note toilet bowl wc x2 kitchen rear,apartment along lavender street area prewar historical buildings residentialbr access two mrt lines 45 mins walk lavender mrt green line 910 mins walk farrer park mrt purple linebr good location proximity everything 24hours food drinks outletsbr 2 mins walk amenities 24hr food centres supermarket mustafa aperia mall city sq mall etcbr 2 mins walk jalan besar public swimming pool olympic size 1entry gymnasium 1entrybr 4 mins walk lavender mrt 13 stations away bugis city hall raffles place promenade dhoby gautbr 4 mins walk major roads bus stops lavender street victoria street jalan besarbr 10 15 mins bus ride cbd areas work boat quay clarke quay night entertainments etc
982909,4723385,Novena,Central Region,1.33389,103.83454,3,1,1.0,1,1,"[""Body soap"", ""Shampoo"", ""Bed linens"", ""Gym"", ""Rice maker"", ""Blender"", ""Private patio or balcony"", ""Coffee"", ""Paid parking on premises"", ""Wine glasses"", ""Baking sheet"", ""Dedicated workspace"", ""First aid kit"", ""Oven"", ""Hangers"", ""Outdoor dining area"", ""Dishes and silverware"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Shared outdoor pool - available all year, open specific hours, lap pool"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Freezer"", ""Cleaning products"", ""Hammock"", ""Hot water kettle"", ""TV with standard cable"", ""Host greets you"", ""Shower gel"", ""Conditioner"", ""BBQ grill"", ""Dining table"", ""Long term stays allowed"", ""Cooking basics"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Essentials"", ""Refrigerator"", ""Paid parking lot off premises"", ""Portable fans"", ""Hair dryer"", ""Wifi"", ""Lock on bedroom door"", ""Clothing storage: closet"", ""City skyline view"", ""Elevator"", ""Coffee maker"", ""Outdoor furniture"", ""Washer"", ""Kitchen"", ""Iron""]",85.0,92,180,92,92,180,180,92.0,180.0,248,1,0,2013-04-05,2024-07-01,4.87,4.92,4.91,4.94,4.92,4.78,4.81,2,1.77,amazing sunset home central area,home sweet home thats exactly feel youre yuans cozy apartment,like neighborhood famous stretch food whampoa market minutes walking distance see local market try many famous singapore food bah kut teh chicken rice fish steamboat hokkien mee chicken wings operating 24 hours great cafes around corner wheelers yard non entree desserts old hen coffee barjewels cafe apartment
1024986,5643415,River Valley,Central Region,1.29245,103.83742,1,2,1.0,1,1,"[""Body soap"", ""Shampoo"", ""Bed linens"", ""Private entrance"", ""Private patio or balcony"", ""Laundromat nearby"", ""Wine glasses"", ""Dedicated workspace"", ""First aid kit"", ""Fast wifi \u2013 112 Mbps"", ""Hangers"", ""Toaster"", ""Outdoor dining area"", ""Dishes and silverware"", ""Keypad"", ""Room-darkening shades"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Freezer"", ""Central air conditioning"", ""Cleaning products"", ""Microwave"", ""Hot water kettle"", ""Shower gel"", ""Dining table"", ""Long term stays allowed"", ""Cooking basics"", ""Self check-in"", ""Hot water"", ""Free washer \u2013 In unit"", ""Paid parking off premises"", ""Essentials"", ""Refrigerator"", ""Free parking on premises"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Bidet"", ""Elevator"", ""Coffee maker"", ""43 inch HDTV with Disney+, Netflix"", ""Kitchen"", ""Iron""]",220.0,92,1125,92,92,1125,1125,92.0,1125.0,258,0,0,2013-10-31,2022-01-14,4.84,4.89,4.78,4.93,4.95,4.84,4.73,2,1.94,super host apartment,beautiful apartment conveniently located along robertson quay proximity facilities like restaurants nightspots soak nightlife popular entertainment pubs restaurants along mohamed sultan road boat quay clarke quay within walking distancebr br fully furnished functional kitchen 1 bedroom 2 balconies check guests reviews apartment,accommodation close fort canning park orchard road shopping entertainment belt close proximity aforementioned orchard road shopping belt means myriad amenities available including major onestop shopping destinations like ion orchard paragon takashimaya orchard central alternatively residents head nearer malls great world city ue square schools chatsworth international school singapore management university located within reasonable driving distance numerous restaurants located nearby robertson quay clarke quay havelock road addition alumni medical centre also vicinity br br nearest mrt studio indicated belowbr br somerset mrt station 088 kmbr clarke quay mrt station 109 kmbr chinatown mrt station 11 kmbr fort canning mrt station 11kmbr br kindly refer tripadvisor area robertson
