host_id,host_since,host_location,host_about_tokens,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
8881470,2013-09-16,Singapore,housed historic shophouse ’ nestled cultural heart singapore wink premium pod hostel offers travelers private sleeping sanctums inviting decked plush designer finishing want indulge little luxury budget looking meet new friends mixing fellow travelers friendly environment wink perfect secure tap card system grants access spacious dorms airconditioned fully carpeted furnished cushy couches perfect kicking back chilling pals ladies dormitories available come complete vanity counters dorms wifi access find custom pods come unique designs plentiful headroom sideallowances presenting comfortable individualized space caters needs every pod fitted ambient backlight sound resistant walls cushy backrest reading led light power socket smartcard access locker located right foot 6 inch orthopedic mattress draped lush soft linen accompanied sumptuous duvet rounds experience breakfast served daily guest kitchenette comes fully equipped cooking hob microwave oven grill refrigerator facilities include showers toilets relaxing café lounge internet stations laundry ironing 24 hour reception centrally located bustling chinatown wink mere minutes away numerous mustsee heritage cultural attractions nearby clarke quay bohemian club street also serves exciting array nightlife dining destinations chinatown ’ mass rapid transit mrt station several busstops short walk away find wink perfect location start exploring singapore,0,0,100,2,Chinatown,4,5,"['email', 'phone']",1,1,unknown,4,0,0,1
8881470,2013-09-16,Singapore,housed historic shophouse ’ nestled cultural heart singapore wink premium pod hostel offers travelers private sleeping sanctums inviting decked plush designer finishing want indulge little luxury budget looking meet new friends mixing fellow travelers friendly environment wink perfect secure tap card system grants access spacious dorms airconditioned fully carpeted furnished cushy couches perfect kicking back chilling pals ladies dormitories available come complete vanity counters dorms wifi access find custom pods come unique designs plentiful headroom sideallowances presenting comfortable individualized space caters needs every pod fitted ambient backlight sound resistant walls cushy backrest reading led light power socket smartcard access locker located right foot 6 inch orthopedic mattress draped lush soft linen accompanied sumptuous duvet rounds experience breakfast served daily guest kitchenette comes fully equipped cooking hob microwave oven grill refrigerator facilities include showers toilets relaxing café lounge internet stations laundry ironing 24 hour reception centrally located bustling chinatown wink mere minutes away numerous mustsee heritage cultural attractions nearby clarke quay bohemian club street also serves exciting array nightlife dining destinations chinatown ’ mass rapid transit mrt station several busstops short walk away find wink perfect location start exploring singapore,0,0,100,2,Chinatown,4,5,"['email', 'phone']",1,1,unknown,4,0,0,1
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
3926646,2012-10-20,Singapore,hi im john us,0,0,0,2,Chinatown,4,7,"['email', 'phone', 'work_email']",1,1,unknown,4,1,3,0
6157422,2013-04-30,Singapore,dear guests teacher love travel years visited continents find prague eastern europe charming wanaka new zealand idyllic host extension love travel get know people different countries years guests become friends guest rooms available one guest time also cotton friendly senior cat home,1,100,100,1,Hougang,2,2,"['email', 'phone']",1,1,unknown,2,0,2,0
12067440,2014-02-09,Singapore,hi name peggy dads tommy father daughter team running hostel singapore love travelling hosting people world stay us drop singapore enjoy interacting people diverse cultures sharing personal experiences travelling tips simply anything sun,1,100,96,2,Kallang,18,25,"['email', 'phone']",1,1,S0251,13,0,13,0
12067440,2014-02-09,Singapore,hi name peggy dads tommy father daughter team running hostel singapore love travelling hosting people world stay us drop singapore enjoy interacting people diverse cultures sharing personal experiences travelling tips simply anything sun,1,100,96,2,Kallang,18,25,"['email', 'phone']",1,1,S0251,13,0,13,0
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
1439258,2011-11-24,Singapore,k2 guesthouse designed guests want truly local experience local people experience eating local food local home away home love meeting new people exchanging cultures food language spending time evening work relax glass wine beer weather becomes unbearable read reviews get ask guest book get know heaps great friends across globe also finally airbnb host since 2011 obtained hotel license legally operate singapore short term stays would like take opportunity appreciate faithful long term guests stayed support us years please come back experience new k2 guesthouse south buona vista wed love us k2 guesthouse kay,1,100,99,2,Bukit Merah,51,77,"['email', 'phone']",1,1,S0399,51,0,51,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
23666,2009-06-29,Singapore,im true blue singaporean knows city well hidden bars indie cafes best chicken rice ask lived worked partied tokyo seoul younger days back home singapore mama brood many kids hosting guests airbnb many years achieved superhost status several times fellow traveller know joy coming back day comfortable space hot shower clean towels crisp sheets comfortable bed recharge next day exploration adventure,2,88,14,2,Kallang,4,4,"['email', 'phone', 'work_email']",1,1,unknown,3,3,0,0
22176293,2014-10-05,Singapore,used work housekeeping manager sgp hotels enjoyed every moment hosting visit let ensure comfy stay away home see soon yongxing9688 irmedini 欢迎光临我家｡网络煮洗没问题 提行李安心入住｡非常开心能结缘｡预祝旅途愉快尽兴而归 sign airbnb get rm137 first adventure ’ invitation link httpswwwairbnbcoukcywu775currencymyr,1,100,72,2,Tanglin,5,5,"['email', 'phone']",1,1,unknown,1,1,0,0
23053315,2014-10-28,Singapore,semiretired person likes travel family traveled around world realized importance comfortable place stay time burning hole pocket triggered offer apartment rental,2,100,0,2,Kallang,1,1,"['email', 'phone']",1,1,unknown,1,1,0,0
23336011,2014-11-04,Singapore,hi everyone management team behind heritage collection offer clean wellmaintained accommodation heart singapores central business district experience living lovingly conserved heritage building equipped modern amenities dependable guest experience team comprising guest experience managers housekeepers maintenance technicians try best respond promptly needs first listing choice available dates stay please check many listings send us message enquire also welcome longterm apartment stays business travellers check reviews past guests contact us enquiries strangers friends havent met yet would love host cheers heritage collection,1,99,98,1,Bugis/Kampong Glam,67,67,"['email', 'phone']",1,1,S0448,67,63,4,0
11390076,2014-01-17,Singapore,creative n artistic guy loves arts fashion travels lot much health nutrition maintaining mind body health exercising regularly reading spiritual new age updates basically earth guy practical nought shy side till comfortable person open love share travelling tips fashion ideas interiors design cooking realities life issue health investment astrology numerology etc life motto things like health travel freedom family fashion exercise friends love,1,100,83,2,Bukit Timah,10,25,"['email', 'phone']",1,1,unknown,8,0,8,0
23336011,2014-11-04,Singapore,hi everyone management team behind heritage collection offer clean wellmaintained accommodation heart singapores central business district experience living lovingly conserved heritage building equipped modern amenities dependable guest experience team comprising guest experience managers housekeepers maintenance technicians try best respond promptly needs first listing choice available dates stay please check many listings send us message enquire also welcome longterm apartment stays business travellers check reviews past guests contact us enquiries strangers friends havent met yet would love host cheers heritage collection,1,99,98,1,Bugis/Kampong Glam,67,67,"['email', 'phone']",1,1,Authorised Serviced Apartment,67,63,4,0
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
24353373,2014-12-01,Singapore,im single professional consultant engineering services quality management lived worked uk india malaysia indonesia etc home singapore im hifiaudiophile love music attend concerts plays making new friends good conversation coffee ive passion baking cooking volunteer community im ecofriendly recycle energy efficient home cya soon cheers jeff,1,100,100,2,Ang Mo Kio,1,1,"['email', 'phone']",1,1,unknown,1,0,1,0
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
25375339,2014-12-30,Singapore,live short live,1,100,81,2,Bishan,10,15,"['email', 'phone']",1,1,unknown,10,1,9,0
23336011,2014-11-04,Singapore,hi everyone management team behind heritage collection offer clean wellmaintained accommodation heart singapores central business district experience living lovingly conserved heritage building equipped modern amenities dependable guest experience team comprising guest experience managers housekeepers maintenance technicians try best respond promptly needs first listing choice available dates stay please check many listings send us message enquire also welcome longterm apartment stays business travellers check reviews past guests contact us enquiries strangers friends havent met yet would love host cheers heritage collection,1,99,98,1,Bugis/Kampong Glam,67,67,"['email', 'phone']",1,1,Authorised Serviced Apartment,67,63,4,0
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
25185912,2014-12-25,Singapore,trueblue singaporean mid 20s hearty appetite life love travelling meeting new people strongly believe singapore fantastic place whether work travel hosted since early days airbnb fairly experienced site continuously endeavor learn people come contact whether new airbnb trying platform first time seasoned traveler hope make experience singapore exceptional one apartments meticulously maintained high standard room professionally cleaned dedicated housekeeping team supported exceptional group people look forward making stay flawless one drop message anytime question singapore ’ best answer safe travels everybody rebekah chua,1,100,82,2,Bukit Timah,18,19,"['email', 'phone']",1,1,unknown,18,1,17,0
11463785,2014-01-20,unknown,,1,100,67,1,Ang Mo Kio,9,9,"['email', 'phone']",1,1,unknown,9,5,4,0
13468566,2014-03-24,Singapore,andy made personal mission hunt singapore ’ next hawker hero whether breakfast lunch dinner supper find prowling jalans lorongs singapore ’ heartlands selftaught funny man andrew “ knock knock ” door slam shut face secret desire someone write memoir includes every one jokes chronological order,2,94,84,1,Bukit Merah,10,10,"['email', 'phone', 'work_email']",1,1,unknown,10,6,4,0
4430782,2012-12-17,Singapore,,2,100,0,2,Bukit Merah,1,1,"['email', 'phone', 'work_email']",1,1,unknown,1,0,1,0
13468566,2014-03-24,Singapore,andy made personal mission hunt singapore ’ next hawker hero whether breakfast lunch dinner supper find prowling jalans lorongs singapore ’ heartlands selftaught funny man andrew “ knock knock ” door slam shut face secret desire someone write memoir includes every one jokes chronological order,2,94,84,1,Bukit Merah,10,10,"['email', 'phone', 'work_email']",1,1,unknown,10,6,4,0
11463785,2014-01-20,unknown,,1,100,67,1,Ang Mo Kio,9,9,"['email', 'phone']",1,1,unknown,9,5,4,0
2235699,2012-04-27,Singapore,hello yin live sunny island singapore looking forward hosting,0,0,0,2,Bugis/Kampong Glam,2,4,"['email', 'phone']",1,1,unknown,2,2,0,0
13468566,2014-03-24,Singapore,andy made personal mission hunt singapore ’ next hawker hero whether breakfast lunch dinner supper find prowling jalans lorongs singapore ’ heartlands selftaught funny man andrew “ knock knock ” door slam shut face secret desire someone write memoir includes every one jokes chronological order,2,94,84,1,Bukit Merah,10,10,"['email', 'phone', 'work_email']",1,1,unknown,10,6,4,0
13468566,2014-03-24,Singapore,andy made personal mission hunt singapore ’ next hawker hero whether breakfast lunch dinner supper find prowling jalans lorongs singapore ’ heartlands selftaught funny man andrew “ knock knock ” door slam shut face secret desire someone write memoir includes every one jokes chronological order,2,94,84,1,Bukit Merah,10,10,"['email', 'phone', 'work_email']",1,1,unknown,10,6,4,0
28489587,2015-02-28,Singapore,im korean living singapore husband singapore citizen semiretired love travel make new friends hope make many friends world,0,0,0,2,Novena,1,3,"['email', 'phone']",1,1,unknown,1,0,1,0
28489587,2015-02-28,Singapore,im korean living singapore husband singapore citizen semiretired love travel make new friends hope make many friends world,0,0,0,2,Novena,1,3,"['email', 'phone']",1,1,unknown,1,0,1,0
28378691,2015-02-26,Singapore,happy,0,0,0,2,unknown,1,1,"['email', 'phone']",1,1,unknown,1,1,0,0
25185912,2014-12-25,Singapore,trueblue singaporean mid 20s hearty appetite life love travelling meeting new people strongly believe singapore fantastic place whether work travel hosted since early days airbnb fairly experienced site continuously endeavor learn people come contact whether new airbnb trying platform first time seasoned traveler hope make experience singapore exceptional one apartments meticulously maintained high standard room professionally cleaned dedicated housekeeping team supported exceptional group people look forward making stay flawless one drop message anytime question singapore ’ best answer safe travels everybody rebekah chua,1,100,82,2,Bukit Timah,18,19,"['email', 'phone']",1,1,unknown,18,1,17,0
28809566,2015-03-05,Singapore,browse portfolio resorts discover makes brand unique take stress travel book resort reservation direct,0,0,0,2,unknown,6,16,"['email', 'phone']",1,1,unknown,6,0,5,1
28946433,2015-03-08,Singapore,low profile home cook food malaysia taiwan,1,100,0,2,Jurong West,2,3,"['email', 'phone']",1,1,Authorised Serviced Apartment,1,0,1,0
28946433,2015-03-08,Singapore,low profile home cook food malaysia taiwan,1,100,0,2,Jurong West,2,3,"['email', 'phone']",1,1,Authorised Serviced Apartment,1,0,1,0
11463785,2014-01-20,unknown,,1,100,67,1,Ang Mo Kio,9,9,"['email', 'phone']",1,1,unknown,9,5,4,0
29353566,2015-03-15,Singapore,,0,0,0,2,Marina Bay,1,1,"['email', 'phone']",1,1,unknown,1,1,0,0
30080617,2015-03-27,Singapore,semi retired love hosting wish let rooms get know people various countries nature lover love gardening exercise regularly meditation maintain place well cleanliness motto travel regularly enjoy learning different culture making new friends currently son edwin also cohosting loves hosting freelance public relations guy,3,90,33,2,Tampines,7,8,"['email', 'phone']",1,1,unknown,5,0,5,0
30080617,2015-03-27,Singapore,semi retired love hosting wish let rooms get know people various countries nature lover love gardening exercise regularly meditation maintain place well cleanliness motto travel regularly enjoy learning different culture making new friends currently son edwin also cohosting loves hosting freelance public relations guy,3,90,33,2,Tampines,7,8,"['email', 'phone']",1,1,unknown,5,0,5,0
274002237,2019-07-06,unknown,,0,0,0,2,unknown,1,1,"['email', 'phone']",1,1,unknown,1,1,0,0
30080617,2015-03-27,Singapore,semi retired love hosting wish let rooms get know people various countries nature lover love gardening exercise regularly meditation maintain place well cleanliness motto travel regularly enjoy learning different culture making new friends currently son edwin also cohosting loves hosting freelance public relations guy,3,90,33,2,Tampines,7,8,"['email', 'phone']",1,1,unknown,5,0,5,0
25185912,2014-12-25,Singapore,trueblue singaporean mid 20s hearty appetite life love travelling meeting new people strongly believe singapore fantastic place whether work travel hosted since early days airbnb fairly experienced site continuously endeavor learn people come contact whether new airbnb trying platform first time seasoned traveler hope make experience singapore exceptional one apartments meticulously maintained high standard room professionally cleaned dedicated housekeeping team supported exceptional group people look forward making stay flawless one drop message anytime question singapore ’ best answer safe travels everybody rebekah chua,1,100,82,2,Bukit Timah,18,19,"['email', 'phone']",1,1,unknown,18,1,17,0
25185912,2014-12-25,Singapore,trueblue singaporean mid 20s hearty appetite life love travelling meeting new people strongly believe singapore fantastic place whether work travel hosted since early days airbnb fairly experienced site continuously endeavor learn people come contact whether new airbnb trying platform first time seasoned traveler hope make experience singapore exceptional one apartments meticulously maintained high standard room professionally cleaned dedicated housekeeping team supported exceptional group people look forward making stay flawless one drop message anytime question singapore ’ best answer safe travels everybody rebekah chua,1,100,82,2,Bukit Timah,18,19,"['email', 'phone']",1,1,unknown,18,1,17,0
26899710,2015-01-29,Singapore,,0,0,0,2,Geylang,2,2,"['email', 'phone']",1,1,unknown,2,0,2,0
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
33096269,2015-05-11,Singapore,hi singaporean chinese like travel make friends visitors tourist married lovely wife dionne 2 lovely teenage children lol handful properties generally simple renovated walkup apartment without amenities like pools gym however area clean affordable properties generally walkup apartments thus recommend travelers young kids infants singapore food paradise love eat hesitate introduce good food friends working uber grab drivers would glad offer special rate book us thank look forward receiving guest soon ec,1,100,100,2,Geylang,12,20,"['email', 'phone', 'work_email']",1,1,unknown,10,1,9,0
11463785,2014-01-20,unknown,,1,100,67,1,Ang Mo Kio,9,9,"['email', 'phone']",1,1,unknown,9,5,4,0
11463785,2014-01-20,unknown,,1,100,67,1,Ang Mo Kio,9,9,"['email', 'phone']",1,1,unknown,9,5,4,0
7210103,2013-07-01,Singapore,serviced residence accommodation singapore superb location unbeatable prices,1,100,100,2,River Valley,6,55,"['email', 'phone', 'work_email']",1,1,Authorised Serviced Apartment,6,6,0,0
33003286,2015-05-10,Singapore,hello im mother three children families rooms house apartment rent airbnb ive done lots adhoc hosting long short term guests especially graduate students look froward meeting,2,100,100,1,unknown,2,2,"['email', 'phone']",1,1,Authorised Serviced Apartment,2,0,2,0
5556667,2013-03-21,Singapore,hi david architect university lecturer teach architecture design etc definitely tea person love design travel photography meeting new friends know singapore well happy share whatever know lion city call little dot equator living singapore seven years refurbished design studio sixth avenue bukit timah one desired living places whole singapore island place super close mrt 50meters away close studio lot local eateries supermarket 711 stores pub well also get fiber wifi installed whole studio surf freely please find suitable bedrooms tatami room single room double room let know bookings travel singapore uk sure love stay newly furnished 3bedroom cozy house stay south yorkshire explore steel city typical english countryside welcome long short stay please hesitate contact via phone number hiddenngapore phone number hiddenuk looking forward welcoming soon cup tea 大家好我是david。歡迎您來到新加坡。我是在新加坡的一名大學講師教授建築學方面的設計和理論。我喜歡設計旅行攝影和交友。同時我是一個愛茶人因而新加坡的工作室可以給您提供一些在茶文化方面的獨特體驗。我在新加坡工作生活六年我在武吉知馬路的工作室位置非常便利可以給您在新加坡的出行住宿提供更多特性化的選擇。我在英國謝菲爾德的一套聯排別墅也才裝修好隨時歡迎您和您家人朋友的光臨。長期入住請直接聯繫我phone number hidden新加坡或者phone number hiddenuk。非常期待和您的會面備茶以候。謝謝光臨。,0,0,0,2,unknown,1,6,"['email', 'phone']",1,1,unknown,1,0,1,0
28809566,2015-03-05,Singapore,browse portfolio resorts discover makes brand unique take stress travel book resort reservation direct,0,0,0,2,unknown,6,16,"['email', 'phone']",1,1,unknown,6,0,5,1
34649530,2015-05-31,Singapore,hi im prim love film overseas camera gear feeling people live country since airbnb hostuntil country limited love experience staying country albeit,0,0,0,2,Novena,5,6,"['email', 'phone']",1,1,unknown,5,1,4,0
28809566,2015-03-05,Singapore,browse portfolio resorts discover makes brand unique take stress travel book resort reservation direct,0,0,0,2,unknown,6,16,"['email', 'phone']",1,1,unknown,6,0,5,1
11463785,2014-01-20,unknown,,1,100,67,1,Ang Mo Kio,9,9,"['email', 'phone']",1,1,unknown,9,5,4,0
21763604,2014-09-25,Singapore,expat tech industry adventurous traveller,1,100,0,2,Central Area,1,1,"['email', 'phone']",1,1,unknown,1,1,0,0
37512810,2015-07-04,Singapore,im friendly married professional travels lot loves hear others stories,3,50,0,2,Queenstown,2,2,"['email', 'phone', 'work_email']",1,1,unknown,1,1,0,0
37964493,2015-07-09,Singapore,im currently student ntu studying eee would like meet people travel around ive malaysiajohor bahru melaka genting highland pengang thailanddanok chinabeijing hong kong macau shenyang harbin russia moscow saint petersburg vladimir suzdal nizhny novgorod spend 10 days traveling alone russia 4 weeks summer school saint petersburg learn russia speak little russian hosted guest canada hungary malaysia china india philippine indonesia spain south africa vietnam us netherlands germany cyprus uk watch action movies eg fast furious marvels mission impossible die hard etc enjoy good food healthy chef steak salmon pasta soups porridge fried rice cycling jogging swimming free time,2,90,17,2,Jurong East,6,6,"['email', 'phone', 'work_email']",1,1,unknown,6,1,5,0
12083856,2014-02-09,Singapore,hello welcome singapore place newly renovated place cozy great lovely life short stay happy,2,100,0,0,Jurong West,4,4,"['email', 'phone']",1,1,unknown,2,0,2,0
38761662,2015-07-17,Singapore,fun loving woman hr consultant profession,0,0,0,2,unknown,1,1,"['email', 'phone']",1,1,unknown,1,0,1,0
13093432,2014-03-13,Singapore,,0,0,0,2,unknown,1,1,['phone'],1,1,unknown,1,0,1,0
16617462,2014-06-10,Singapore,hey im video producer travel frequently im heavy airbnb user love every bit beautiful apartment singapore id like host contributes part extraordinary travel experience,0,0,100,2,Queenstown,1,2,"['email', 'phone', 'work_email']",1,1,unknown,1,1,0,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
8948251,2013-09-20,Singapore,rent rooms behalf various owners singapore dont want hassle,3,50,100,2,Chinatown,81,126,"['email', 'phone']",1,1,unknown,81,1,80,0
11463785,2014-01-20,unknown,,1,100,67,1,Ang Mo Kio,9,9,"['email', 'phone']",1,1,unknown,9,5,4,0
12422759,2015-08-17,Singapore,fresh graduate helping mom admin matters lease,0,0,0,2,unknown,1,1,"['email', 'phone']",1,1,unknown,1,0,1,0
